0, -inf, 9.235868
1, 7.628027, 10.404079
2, 8.526075, 10.737111
3, 8.829237, 11.118411
4, 9.341511, 11.458803
5, 9.677774, 11.553837
6, 9.907343, 10.954257
7, 10.101672, 11.030614
8, 10.145606, 11.174432
9, 10.156832, 11.243341
10, 10.134674, 10.879153
11, 10.143700, 10.995620
12, 10.138160, 10.902952
13, 10.132683, 10.886360
14, 10.106265, 10.623037
15, 10.121509, 10.792644
16, 10.119035, 10.781258
17, 10.106161, 10.660767
18, 9.987864, 9.933371
19, 9.984445, 9.896605
20, 9.987012, 9.911275
21, 9.967521, 9.816035
22, 9.882188, 9.527026
23, 9.943856, 9.692164
24, 9.941275, 9.687016
25, 9.857513, 9.528273
26, 9.839767, 9.378144
27, 9.849329, 9.362024
28, 9.898822, 9.510492
29, 9.801281, 9.317885

